category,name,longitude,latitude
cng,CNG Filling,-111.9226707,40.7256914
cng,CNG Filling,-111.9253393,40.7653258
cng,CNG Filling,-111.8982196,40.8834329
cng,CNG Filling,-111.949093,41.0363188
cng,CNG Filling,-112.0167153,40.7189971
cng,CNG Filling,-111.9910777,40.7401967
cng,CNG Filling,-111.9964037,40.6074038
cng,CNG Filling,-112.026515,40.7735635
cng,CNG Filling,-111.986924,40.5947642
lanfill,Bountiful Landfill,-111.9162833,40.91106944
lanfill,Trans-Jordan Landfill,-112.0576028,40.55578056
lanfill,Waste Management,-112.0581667,40.74202778
lanfill,Construction Waste Management,-112.0664,40.73547222
lanfill,Salt Lake Landfill,-112.0434028,40.74459444
lpg,LPG Filling,-111.9073484839582,40.68672582194225
lpg,LPG Filling,-111.8985719178848,40.58115606168649
lpg,LPG Filling,-111.8997669784608,40.86185923463794
lpg,LPG Filling,-111.9366224945712,40.80972996611379
lpg,LPG Filling,-111.9319527232486,40.77185393667238
lpg,LPG Filling,-111.9385760695092,40.74548069714908
lpg,LPG Filling,-111.9780100334307,40.7400479532347
lpg,LPG Filling,-111.8972021134766,40.71234842908349
lpg,LPG Filling,-111.9394024739391,40.6941214172009
industrial,Interstate Brick,-112.0208025154661,40.57089172390744
industrial,Dominion LNG Transfer Station,-112.0792770195304,40.73091188960943
industrial,Northrup Grummand Industry,-112.0751260670034,40.67107246028775
unknown,Unknown Source,-111.8975622002762,40.72227910070477
powerplant,ebay Data Center,-112.0486247,40.56377887
powerplant,Rocky Mountain Power,-111.9313278,40.77044722
powerplant,Murray City Powerplant,-111.8949167,40.66640833
powerplant,West Valley Generation Project,-112.031656,40.666812
refinery,Marathon,-111.9057139,40.79226111
refinery,Chevron,-111.924,40.825
refinery,Big West Oil,-111.92,40.838
refinery,Holly Refining,-111.9048333,40.88635556
refinery,Silver Eagle,-111.91,40.868
wastewater,"So. Davis Sewer District, South Plant",-111.9472028,40.84358611
wastewater,SLC Water Reclamation Facility,-111.9331333,40.81261667
wastewater,Magna w/s District,-112.0750833,40.72742222
wastewater,Central Valley Water Reclamation,-111.9123,40.70543333
wastewater,Jordan Basin Water Reclamation,-111.9188667,40.50410833
wastewater,"So. Davis Sewer District, North Plant",-111.9300944,40.901725
wastewater,Central Davis Co. Sewer,-111.9448389,40.99878056
wastewater,So. Valley Water Reclamation,-111.9253556,40.61449167
